Timestamp, Angle, Speed, Distance, Yaw, Pitch, Roll, AccX, AccY, AccZ, Flag
[2025-06-06 12:55:13],-8.51,0,0,-0.17,0,-0.25,-0.02,-0.09,-0.17,1
[2025-06-06 12:55:13],-9.76,0,0,1.08,0,-0.44,-0.06,-0.1,-0.12,0
[2025-06-06 12:55:13],-9.92,0,0,1.24,0,-0.5,-0.14,-0.19,-0.23,0
[2025-06-06 12:55:13],-10,0,0,1.32,0,-0.44,-0.12,-0.18,-0.12,0
[2025-06-06 12:55:13],-10,0,0,1.32,0,-0.44,-0.11,-0.1,-0.15,0
[2025-06-06 12:55:13],-9.98,0,0,1.3,0.06,-0.5,0.14,0.03,-0.21,0
[2025-06-06 12:55:13],-9.97,0,0,1.29,0.06,-0.5,0.14,0.06,-0.19,0
[2025-06-06 12:55:13],-9.97,0,0,1.29,0.06,-0.44,-0.12,-0.12,-0.13,0
[2025-06-06 12:55:13],-9.97,0,0,1.29,0.06,-0.44,-0.11,-0.1,-0.13,0
[2025-06-06 12:55:13],-9.97,0,0,1.29,0.06,-0.44,0.02,-0.03,-0.16,0
[2025-06-06 12:55:13],-9.98,0,0,1.3,0.06,-0.5,0.04,-0.03,-0.18,0
[2025-06-06 12:55:13],-9.97,0,0,1.29,0.06,-0.44,-0.11,-0.11,-0.17,0
[2025-06-06 12:55:13],-9.98,0,0,1.3,0.06,-0.44,-0.08,-0.1,-0.14,0
[2025-06-06 12:55:13],-9.97,0,0,1.29,0.06,-0.44,0.03,-0.03,-0.18,0
[2025-06-06 12:55:13],-9.97,0,0,1.29,0.06,-0.44,0.02,-0.03,-0.17,0
[2025-06-06 12:55:13],-9.97,0,0,1.29,0.06,-0.44,-0.04,-0.1,-0.17,0
[2025-06-06 12:55:13],-9.97,0,0,1.29,0.06,-0.44,0.02,-0.04,-0.17,0
[2025-06-06 12:55:13],-9.97,0,0,1.29,0.06,-0.44,-0.01,-0.05,-0.16,0
[2025-06-06 12:55:13],-9.98,0,0,1.3,0.06,-0.44,-0.02,-0.07,-0.14,0
[2025-06-06 12:55:14],-9.98,0,0,1.3,0.06,-0.44,-0.02,-0.05,-0.13,0
[2025-06-06 12:55:14],-9.97,0,0,1.29,0.06,-0.44,-0.02,-0.05,-0.18,0
[2025-06-06 12:55:14],-9.97,0,0,1.29,0.06,-0.44,-0.05,-0.06,-0.14,0
[2025-06-06 12:55:14],-9.97,0,0,1.29,0.06,-0.44,-0.03,-0.08,-0.15,0
[2025-06-06 12:55:14],-9.97,0,0,1.3,0.06,-0.44,-0.09,-0.27,-0.2,0
[2025-06-06 12:55:14],-9.92,0,0,1.24,0.06,-0.37,-0.06,0.01,-0.1,0
[2025-06-06 12:55:14],-9.88,0,0,1.2,0.06,-0.44,0.24,0.13,-0.18,0
[2025-06-06 12:55:14],-9.85,0,0,1.17,0.06,-0.44,-0.19,-0.27,-0.06,0
[2025-06-06 12:55:14],-9.85,0,0,1.17,0.06,-0.37,-0.19,-0.02,-0.08,0
[2025-06-06 12:55:14],-9.85,0,0,1.17,0.06,-0.44,0.1,-0.01,-0.24,0
[2025-06-06 12:55:14],-9.83,0,0,1.15,0.06,-0.44,0.07,0.02,-0.16,0
[2025-06-06 12:55:14],-9.82,0,0,1.14,0.06,-0.44,-0.06,-0.1,-0.16,0
[2025-06-06 12:55:14],-9.82,0,0,1.14,0.06,-0.44,0.04,-0.03,-0.19,0
[2025-06-06 12:55:14],-9.83,0,0,1.15,0.06,-0.44,0.01,-0.02,-0.16,0
[2025-06-06 12:55:14],-9.82,0,0,1.14,0.06,-0.44,-0.06,-0.07,-0.13,0
[2025-06-06 12:55:14],-9.82,0,0,1.14,0.06,-0.44,-0.03,-0.04,-0.14,0
[2025-06-06 12:55:14],-9.82,0,0,1.14,0.06,-0.44,0.04,-0.01,-0.18,0
